narration,main_category,main_confidence,main_top3,sub_category,sub_confidence,sub_top3,time_taken_sec
Annual enterprise license renewal for core platforms - Annual contract,Software Licensing,0.9779,"('Software Licensing (97.8%) | Managed Services & Support (0.7%) | Professional Services (0.6%)', 0.9779)",Development & DevOps Tools,0.3181,Development & DevOps Tools (31.8%) | IT Service Management (27.0%) | Collaboration & Productivity (11.1%),1.7818
Contract staffing for infrastructure operations team - FY - Project code: ENT-IT-INV,Cloud & Infrastructure,0.9729,"('Cloud & Infrastructure (97.3%) | Managed Services & Support (1.2%) | Professional Services (0.5%)', 0.9729)",Hyperconverged Infrastructure,0.5517,Hyperconverged Infrastructure (55.2%) | Data Platform & Storage (21.1%) | Container & Orchestration (9.8%),1.9904
Subscription fees for SaaS collaboration and productivity suite - Quarterly true-up,Software Licensing,0.9496,"('Software Licensing (95.0%) | Integration & Middleware (1.2%) | Professional Services (1.1%)', 0.9496)",Collaboration & Productivity,0.99,Collaboration & Productivity (99.0%) | IT Service Management (0.3%) | Development & DevOps Tools (0.3%),2.1822
Network switches and routers for core infrastructure upgrade - Quarterly true-up,Cloud & Infrastructure,0.9481,"('Cloud & Infrastructure (94.8%) | Cybersecurity & Governance (1.7%) | Managed Services & Support (0.9%)', 0.9481)",Hyperconverged Infrastructure,0.4817,Hyperconverged Infrastructure (48.2%) | Data Platform & Storage (27.4%) | CDN & Edge Services (11.4%),1.7299
Data center power and cooling consumption charges - Multi-region deployment,Cloud & Infrastructure,0.9042,"('Cloud & Infrastructure (90.4%) | Cybersecurity & Governance (3.1%) | Managed Services & Support (2.0%)', 0.9042)",Hyperconverged Infrastructure,0.3732,Hyperconverged Infrastructure (37.3%) | Data Platform & Storage (31.1%) | Container & Orchestration (13.3%),1.764
Monthly cloud compute and storage charges for production workloads - RSA Archer - OpEx recurring,Cloud & Infrastructure,0.8979,"('Cloud & Infrastructure (89.8%) | Cybersecurity & Governance (2.8%) | Professional Services (2.3%)', 0.8979)",Data Platform & Storage,0.3887,Data Platform & Storage (38.9%) | Public Cloud Consumption (22.1%) | Hyperconverged Infrastructure (19.6%),3.2579
Annual commitment for compute instances - AWS,Cloud & Infrastructure,0.8949,"('Cloud & Infrastructure (89.5%) | Professional Services (2.2%) | Managed Services & Support (2.1%)', 0.8949)",Data Platform & Storage,0.3128,Data Platform & Storage (31.3%) | Hyperconverged Infrastructure (27.8%) | Public Cloud Consumption (17.4%),1.7002
Blade chassis and compute nodes for virtualization platform - OpEx recurring,Cloud & Infrastructure,0.8938,"('Cloud & Infrastructure (89.4%) | Managed Services & Support (2.8%) | Professional Services (2.1%)', 0.8938)",Hyperconverged Infrastructure,0.3938,Hyperconverged Infrastructure (39.4%) | Data Platform & Storage (21.5%) | Container & Orchestration (20.3%),1.8481
Upgrade of storage arrays - Arista,Cloud & Infrastructure,0.8785,"('Cloud & Infrastructure (87.8%) | Managed Services & Support (3.3%) | Integration & Middleware (2.9%)', 0.8785)",Data Platform & Storage,0.6649,Data Platform & Storage (66.5%) | Hyperconverged Infrastructure (16.1%) | Container & Orchestration (6.4%),1.865
Hardware refresh for load balancers - Arista,Cloud & Infrastructure,0.8677,"('Cloud & Infrastructure (86.8%) | Integration & Middleware (4.6%) | Managed Services & Support (2.5%)', 0.8677)",Data Platform & Storage,0.2887,Data Platform & Storage (28.9%) | Hyperconverged Infrastructure (28.9%) | CDN & Edge Services (18.3%),1.8296
Monthly cloud compute and storage charges for production workloads - Splunk,Cloud & Infrastructure,0.8604,"('Cloud & Infrastructure (86.0%) | Integration & Middleware (5.3%) | Professional Services (2.1%)', 0.8604)",Data Platform & Storage,0.5433,Data Platform & Storage (54.3%) | Hyperconverged Infrastructure (13.2%) | CDN & Edge Services (11.1%),1.7495
Procurement of enterprise-grade servers for data center expansion - Non-production / DR site,Cloud & Infrastructure,0.8545,"('Cloud & Infrastructure (85.5%) | Cybersecurity & Governance (4.5%) | Managed Services & Support (2.9%)', 0.8545)",Hyperconverged Infrastructure,0.4823,Hyperconverged Infrastructure (48.2%) | Data Platform & Storage (23.1%) | Container & Orchestration (11.5%),1.9438
Procurement of enterprise-grade servers for data center expansion - Quarterly true-up,Cloud & Infrastructure,0.84,"('Cloud & Infrastructure (84.0%) | Managed Services & Support (3.7%) | Professional Services (3.2%)', 0.84)",Hyperconverged Infrastructure,0.4666,Hyperconverged Infrastructure (46.7%) | Data Platform & Storage (28.3%) | Container & Orchestration (11.3%),1.8297
Storage arrays and SAN equipment for capacity growth - OpEx recurring,Cloud & Infrastructure,0.8355,"('Cloud & Infrastructure (83.5%) | Integration & Middleware (3.7%) | Managed Services & Support (3.6%)', 0.8355)",Data Platform & Storage,0.6107,Data Platform & Storage (61.1%) | Hyperconverged Infrastructure (21.0%) | CDN & Edge Services (6.6%),1.7533
