narration,main_category,main_confidence,main_top3,sub_category,sub_confidence,sub_top3,time_taken_sec
Vsph3re Lic Renewal FY25,Software Licensing,0.9983,"('Software Licensing (99.8%) | Maintenance & Support (0.1%) | Others (0.1%)', 0.9983)",Enterprise Software,0.5781,Enterprise Software (57.8%) | Virtualization (23.3%) | Productivity Suites (18.9%),1.2004
Microsoft 365 Lic.,Software Licensing,0.9981,"('Software Licensing (99.8%) | Network & Security (0.1%) | Infrastructure (0.0%)', 0.9981)",Enterprise Software,0.6583,Enterprise Software (65.8%) | Productivity Suites (19.8%) | Virtualization (14.4%),1.1724
MSFT O365 License Fee,Software Licensing,0.9976,"('Software Licensing (99.8%) | Network & Security (0.1%) | Infrastructure (0.1%)', 0.9976)",Enterprise Software,0.5531,Enterprise Software (55.3%) | Virtualization (22.8%) | Productivity Suites (21.9%),1.2298
Zoom Enterprise Lic,Software Licensing,0.9972,"('Software Licensing (99.7%) | Network & Security (0.1%) | Infrastructure (0.1%)', 0.9972)",Enterprise Software,0.8197,Enterprise Software (82.0%) | Productivity Suites (10.2%) | Virtualization (7.9%),1.1399
S/4HANA Maintenance,Maintenance & Support,0.9959,"('Maintenance & Support (99.6%) | Network & Security (0.2%) | Infrastructure (0.1%)', 0.9959)",ERP Maintenance,0.7515,ERP Maintenance (75.1%) | Annual Maintenance Contracts (24.9%),1.1685
S/4HANA Maintenance,Maintenance & Support,0.9959,"('Maintenance & Support (99.6%) | Network & Security (0.2%) | Infrastructure (0.1%)', 0.9959)",ERP Maintenance,0.7515,ERP Maintenance (75.1%) | Annual Maintenance Contracts (24.9%),1.1846
S/4HANA Maintenance,Maintenance & Support,0.9959,"('Maintenance & Support (99.6%) | Network & Security (0.2%) | Infrastructure (0.1%)', 0.9959)",ERP Maintenance,0.7515,ERP Maintenance (75.1%) | Annual Maintenance Contracts (24.9%),1.176
S/4HANA Maintenance,Maintenance & Support,0.9959,"('Maintenance & Support (99.6%) | Network & Security (0.2%) | Infrastructure (0.1%)', 0.9959)",ERP Maintenance,0.7515,ERP Maintenance (75.1%) | Annual Maintenance Contracts (24.9%),1.1715
zoom license fee,Software Licensing,0.9958,"('Software Licensing (99.6%) | Others (0.1%) | Network & Security (0.1%)', 0.9958)",Enterprise Software,0.3786,Enterprise Software (37.9%) | Productivity Suites (35.9%) | Virtualization (26.3%),1.0986
SAP ERP Annual Maintenance,Maintenance & Support,0.9923,"('Maintenance & Support (99.2%) | Software Licensing (0.5%) | Others (0.1%)', 0.9923)",Annual Maintenance Contracts,0.5424,Annual Maintenance Contracts (54.2%) | ERP Maintenance (45.8%),1.2875
SAP ERP Annual Maintenance,Maintenance & Support,0.9923,"('Maintenance & Support (99.2%) | Software Licensing (0.5%) | Others (0.1%)', 0.9923)",Annual Maintenance Contracts,0.5424,Annual Maintenance Contracts (54.2%) | ERP Maintenance (45.8%),1.1566
Vsphere Lic Renewal FY25,Software Licensing,0.9919,"('Software Licensing (99.2%) | Network & Security (0.4%) | Infrastructure (0.2%)', 0.9919)",Virtualization,0.6708,Virtualization (67.1%) | Enterprise Software (26.7%) | Productivity Suites (6.2%),1.2305
Vsphere Lic Renewal FY25,Software Licensing,0.9919,"('Software Licensing (99.2%) | Network & Security (0.4%) | Infrastructure (0.2%)', 0.9919)",Virtualization,0.6708,Virtualization (67.1%) | Enterprise Software (26.7%) | Productivity Suites (6.2%),1.17
Vsphere Lic Renewal FY25,Software Licensing,0.9919,"('Software Licensing (99.2%) | Network & Security (0.4%) | Infrastructure (0.2%)', 0.9919)",Virtualization,0.6708,Virtualization (67.1%) | Enterprise Software (26.7%) | Productivity Suites (6.2%),1.2178
o365 lic renewal,Software Licensing,0.9907,"('Software Licensing (99.1%) | Network & Security (0.4%) | Maintenance & Support (0.2%)', 0.9907)",Enterprise Software,0.5854,Enterprise Software (58.5%) | Virtualization (21.1%) | Productivity Suites (20.3%),1.1811
o365 lic renewal,Software Licensing,0.9907,"('Software Licensing (99.1%) | Network & Security (0.4%) | Maintenance & Support (0.2%)', 0.9907)",Enterprise Software,0.5854,Enterprise Software (58.5%) | Virtualization (21.1%) | Productivity Suites (20.3%),1.1825
MS O365 lic,Software Licensing,0.989,"('Software Licensing (98.9%) | Network & Security (0.5%) | Infrastructure (0.2%)', 0.989)",Enterprise Software,0.5989,Enterprise Software (59.9%) | Productivity Suites (22.4%) | Virtualization (17.7%),1.3447
Microsoft Office 365 License,Software Licensing,0.9823,"('Software Licensing (98.2%) | Others (0.4%) | Infrastructure (0.4%)', 0.9823)",Enterprise Software,0.674,Enterprise Software (67.4%) | Productivity Suites (20.1%) | Virtualization (12.5%),1.1956
