narration,main_category,main_top3,sub_category,sub_top3,time_taken_sec
SAP S/4HANA Cloud Private Edition - Annual Subscription Renewal FY25 - Global Finance Module,Software Licensing,Software Licensing (56.6%) | Others (39.0%) | Integration & Middleware (2.6%),Human Capital Management,Human Capital Management (30.8%) | Development & DevOps Tools (26.7%) | Customer Relationship Management (17.5%),1.815
SAP S/4HANA - FICO Module - Annual Maintenance & Support Fees - FY2024-25,Others,Others (76.6%) | Managed Services & Support (12.8%) | Professional Services (5.6%),Annual Maintenance & Support Fees,"N/A (dynamically generated, not a closed-set probability)",2.4737
SAP Ariba Buying & Invoicing - Subscription Renewal - Procurement - 1200 Users - EMEA Entity,Others,Others (74.5%) | Software Licensing (9.8%) | Integration & Middleware (7.5%),Cost of purchasing and managing subscriptions,"N/A (dynamically generated, not a closed-set probability)",2.4635
SAP Concur Expense - Standard Edition - Monthly Subscription - Q1 FY25 - All Entities,Others,Others (91.1%) | Managed Services & Support (5.2%) | Integration & Middleware (3.5%),Costs related to:,"N/A (dynamically generated, not a closed-set probability)",2.259
SAP SuccessFactors Employee Central - Annual License - 8500 Employees - Global HR,Software Licensing,Software Licensing (98.3%) | Others (1.3%) | Integration & Middleware (0.3%),Human Capital Management,Human Capital Management (100.0%) | Enterprise Resource Planning (0.0%) | Customer Relationship Management (0.0%),1.7042
Oracle ERP Cloud Financials - SaaS Subscription - FY25 Renewal - US01 Entity,Software Licensing,Software Licensing (69.8%) | Others (27.8%) | Integration & Middleware (1.2%),Development & DevOps Tools,Development & DevOps Tools (28.7%) | Human Capital Management (26.5%) | Customer Relationship Management (21.5%),1.7653
Oracle NetSuite ERP - Annual License - Manufacturing Subsidiary - APAC Region,Software Licensing,Software Licensing (92.1%) | Others (6.8%) | Integration & Middleware (0.8%),Customer Relationship Management,Customer Relationship Management (23.5%) | Development & DevOps Tools (23.3%) | Enterprise Resource Planning (18.3%),1.7012
Microsoft Dynamics 365 Finance & Operations - Enterprise License - 350 Users - FY25,Software Licensing,Software Licensing (92.2%) | Others (6.5%) | Integration & Middleware (0.9%),Human Capital Management,Human Capital Management (47.8%) | Enterprise Resource Planning (24.4%) | Development & DevOps Tools (9.5%),1.8471
SAP BTP - Integration Suite - Consumption Charges - Dec 2024 - Integration Platform,Others,Others (62.9%) | Managed Services & Support (18.9%) | Integration & Middleware (18.0%),Cost of Goods Sold (CO,"N/A (dynamically generated, not a closed-set probability)",2.4089
Oracle Database Enterprise Edition - Support Renewal - Prod Environment - Annual,Others,Others (67.2%) | Software Licensing (26.4%) | Managed Services & Support (4.0%),Costs related to:,"N/A (dynamically generated, not a closed-set probability)",2.3286
Workday HCM - Annual Subscription - Core HR + Compensation + Talent - 9000 Employees,Others,Others (57.6%) | Software Licensing (31.9%) | Integration & Middleware (6.0%),Costs related to employee,"N/A (dynamically generated, not a closed-set probability)",2.3893
Workday Payroll - US & Canada - Annual Subscription & Tax Filing Fees - FY25,Others,Others (83.8%) | Software Licensing (8.0%) | Managed Services & Support (4.7%),Employee Benefits,"N/A (dynamically generated, not a closed-set probability)",2.3126
ADP GlobalView Payroll - Processing Fees - EMEA Region - Nov 2024 - 3200 Payslips,Others,Others (89.7%) | Managed Services & Support (5.8%) | Integration & Middleware (4.0%),Processing Fees,"N/A (dynamically generated, not a closed-set probability)",2.5062
SuccessFactors Learning Management System - Annual Subscription Renewal,Software Licensing,Software Licensing (67.6%) | Others (29.5%) | Integration & Middleware (1.4%),Human Capital Management,Human Capital Management (64.4%) | Development & DevOps Tools (14.4%) | Business Intelligence & Analytics (6.6%),1.6413
Workday - Phase 2 Implementation - Professional Services - Milestone 3 - SOW WD-2024-089,Others,Others (86.6%) | Managed Services & Support (6.8%) | Professional Services (3.8%),Cost of Professional Services,"N/A (dynamically generated, not a closed-set probability)",2.5312
ServiceNow HRSD - HR Service Delivery Pro - License Renewal - 5000 Fulfiller Licenses,Software Licensing,Software Licensing (96.7%) | Others (2.8%) | Integration & Middleware (0.4%),Human Capital Management,Human Capital Management (99.8%) | Enterprise Resource Planning (0.1%) | Business Intelligence & Analytics (0.1%),1.777
LinkedIn Talent Solutions - Recruiter Corporate Licenses - Annual - Global TA Team,Software Licensing,Software Licensing (97.7%) | Others (1.7%) | Professional Services (0.3%),Human Capital Management,Human Capital Management (97.2%) | Enterprise Resource Planning (1.1%) | Business Intelligence & Analytics (0.5%),1.5728
ADP Workforce Now - Time & Attendance Module - Monthly Subscription - US Payroll,Others,Others (85.1%) | Managed Services & Support (8.6%) | Integration & Middleware (5.7%),Cost of labor,"N/A (dynamically generated, not a closed-set probability)",2.1632
Salesforce Sales Cloud Enterprise Edition - Annual Subscription - 650 Users - Renewal FY25,Software Licensing,Software Licensing (75.3%) | Others (22.8%) | Integration & Middleware (1.1%),Enterprise Resource Planning,Enterprise Resource Planning (39.4%) | Human Capital Management (26.7%) | Development & DevOps Tools (13.3%),1.5634
Salesforce Service Cloud - Digital Engagement Add-on - Annual License - Customer Support,Software Licensing,Software Licensing (73.3%) | Others (25.4%) | Managed Services & Support (0.6%),Customer Relationship Management,Customer Relationship Management (71.1%) | Development & DevOps Tools (12.1%) | Business Intelligence & Analytics (6.5%),1.4408
Salesforce CPQ - Annual Subscription - Sales Operations - Global Entity,Others,Others (64.8%) | Software Licensing (17.5%) | Integration & Middleware (8.6%),Salesforce CPQ -,"N/A (dynamically generated, not a closed-set probability)",2.1301
Salesforce Platform - Shield Encryption & Event Monitoring - Annual Add-on,Others,Others (78.5%) | Managed Services & Support (9.6%) | Integration & Middleware (5.0%),Salesforce Platform,"N/A (dynamically generated, not a closed-set probability)",2.0384
HubSpot Marketing Hub Enterprise - Annual Subscription - 10000 Contacts - Marketing Ops,Software Licensing,Software Licensing (55.7%) | Others (37.4%) | Integration & Middleware (3.2%),Customer Relationship Management,Customer Relationship Management (62.1%) | Human Capital Management (17.9%) | Enterprise Resource Planning (6.9%),1.5236
Microsoft Dynamics 365 Sales Enterprise - Annual Subscription - 400 Users,Software Licensing,Software Licensing (65.8%) | Others (29.9%) | Integration & Middleware (2.7%),Human Capital Management,Human Capital Management (29.7%) | Enterprise Resource Planning (27.2%) | Customer Relationship Management (25.1%),1.5053
Zendesk Suite Enterprise - Annual Subscription - Customer Support - 150 Agents - Global,Others,Others (61.4%) | Software Licensing (31.4%) | Managed Services & Support (3.8%),Costs related to customer,"N/A (dynamically generated, not a closed-set probability)",2.1255
Gainsight CS - Customer Success Platform - Annual Subscription - FY25,Software Licensing,Software Licensing (67.2%) | Others (31.7%) | Integration & Middleware (0.4%),Customer Relationship Management,Customer Relationship Management (87.4%) | Human Capital Management (6.0%) | Development & DevOps Tools (2.5%),1.5289
Amazon Web Services (AWS) - EC2 & RDS & S3 Usage - Production Account 9821-Prod - Jan 2025 Invoice,Others,Others (79.7%) | Managed Services & Support (10.1%) | Integration & Middleware (8.6%),AWS EC2 and RDS,"N/A (dynamically generated, not a closed-set probability)",2.3797
AWS - Data Transfer & CloudFront Charges - Global E-Commerce Workload - Dec 2024,Others,Others (84.3%) | Managed Services & Support (9.8%) | Integration & Middleware (5.7%),AWS - Data Transfer & Cloud,"N/A (dynamically generated, not a closed-set probability)",2.2231
AWS Business Support Plan - Monthly Fees - Enterprise Account - Jan 2025,Others,Others (66.9%) | Software Licensing (25.2%) | Managed Services & Support (4.9%),AWS Business Support Plan - Monthly,"N/A (dynamically generated, not a closed-set probability)",2.0994
Microsoft Azure - Consumption Charges - Pay-As-You-Go - Subscription ID AZR-PROD-001 - Dec 2024,Others,Others (66.4%) | Software Licensing (20.8%) | Managed Services & Support (7.3%),Azure subscription pricing,"N/A (dynamically generated, not a closed-set probability)",2.3036
Microsoft Azure - Reserved Instances - 1 Year - D-Series VMs - Finance Workload - Prepayment,Others,Others (78.2%) | Managed Services & Support (10.7%) | Integration & Middleware (7.5%),Azure Cost Management,"N/A (dynamically generated, not a closed-set probability)",2.1342
Google Cloud Platform (GCP) - BigQuery & GKE & Cloud Storage - Project analytics-prod - Dec 2024,Others,Others (82.2%) | Managed Services & Support (9.3%) | Integration & Middleware (7.9%),Cost of infrastructure and services,"N/A (dynamically generated, not a closed-set probability)",2.463
AWS Marketplace - Snowflake Private Listing - Credit Consumption - Q4 FY24,Others,Others (83.1%) | Managed Services & Support (9.9%) | Integration & Middleware (5.8%),Cost of using AWS services,"N/A (dynamically generated, not a closed-set probability)",2.096
Azure - Microsoft Defender for Cloud - Monthly Usage - All Subscriptions,Others,Others (82.0%) | Managed Services & Support (8.1%) | Software Licensing (4.3%),Azure Cost Management,"N/A (dynamically generated, not a closed-set probability)",2.0323
AWS - Direct Connect - 10Gbps Port - US-East-1 - Monthly Recurring Charge - FY25,Others,Others (73.5%) | Managed Services & Support (11.4%) | Software Licensing (9.1%),Infrastructure Costs,"N/A (dynamically generated, not a closed-set probability)",2.2594
GCP - Workspace Enterprise Plus - Annual Commitment - 9000 Users - Global,Others,Others (52.6%) | Software Licensing (44.9%) | Integration & Middleware (1.1%),User Costs,"N/A (dynamically generated, not a closed-set probability)",2.1104
Microsoft 365 E5 License - Annual Subscription - 9200 Users - Global - FY25 Renewal,Software Licensing,Software Licensing (97.1%) | Others (2.5%) | Integration & Middleware (0.3%),Development & DevOps Tools,Development & DevOps Tools (58.2%) | Business Intelligence & Analytics (10.6%) | Customer Relationship Management (9.3%),1.587
Microsoft 365 E3 to E5 Step-up - License True-up - 1200 Users - Q4 FY24,Software Licensing,Software Licensing (99.0%) | Others (0.6%) | Integration & Middleware (0.2%),Development & DevOps Tools,Development & DevOps Tools (45.9%) | Business Intelligence & Analytics (16.8%) | Human Capital Management (12.4%),1.6695
Microsoft Teams Phone System - Calling Plan - 800 Users - Monthly - Dec 2024,Others,Others (81.3%) | Software Licensing (10.6%) | Managed Services & Support (4.8%),Costs related to:,"N/A (dynamically generated, not a closed-set probability)",2.1481
