Narration,main_category,main_top3,sub_category,sub_top3,time_taken_sec
AWS Enterprise Cloud Svcs - Mo. Consumption Billing - Core Prod VPC & EKS Clusters - Acc #4829104 - Billing Period Aug 2026,Maintenance & Support,Maintenance & Support (34.9%) | Software Licensing (33.7%) | Operations (13.6%),Enterprise Support Plans,Enterprise Support Plans (85.7%) | Annual Maintenance Contract (AMC) (5.6%) | Patch / Version Update (4.9%),2.1069
Microsoft Azure Enterprise Agreement (EA) - Q3 FY26 True-Up & Reserved VM Instance Allocation - Global Shared Infrastructure,Maintenance & Support,Maintenance & Support (55.5%) | Others (24.2%) | Software Licensing (7.2%),Enterprise Support Plans,Enterprise Support Plans (71.8%) | Patch / Version Update (16.0%) | Vendor Support Retainer (9.6%),1.6539
Google Cloud Platform (GCP) - BigQuery & Vertex AI Compute Monthly Consumption - Data Science Team - Inv Ref GCP-2026-0881,Maintenance & Support,Maintenance & Support (44.7%) | Others (21.2%) | Operations (15.8%),Vendor Support Retainer,Vendor Support Retainer (48.6%) | Enterprise Support Plans (20.2%) | Patch / Version Update (19.9%),1.6449
Oracle Cloud Infrastructure (OCI) - Dedicated Database Cloud Service Exadata Base Mo. Subscription - Financial Ledgers Hosting,Software Licensing,Software Licensing (65.6%) | Maintenance & Support (21.0%) | Operations (7.9%),License Upgrade / Add-on,License Upgrade / Add-on (60.4%) | License Renewal (28.3%) | SaaS Subscription Seats (5.5%),1.5889
"Cloudflare Inc - Enterprise Tier DDoS Mitigation, Global CDN & WAF Annual Renewal - Primary Web Applications (FY26-27)",Maintenance & Support,Maintenance & Support (47.0%) | Software Licensing (24.0%) | Operations (10.7%),Enterprise Support Plans,Enterprise Support Plans (76.6%) | Annual Maintenance Contract (AMC) (14.4%) | Patch / Version Update (5.6%),1.6019
Amazon Web Services - Direct Connect 10Gbps Dedicated Link Charges & Inter-Region Data Egress - Global WAN Backhaul,Network & Connectivity,Network & Connectivity (95.2%) | Others (1.4%) | Maintenance & Support (1.4%),Bandwidth & Data Transfer,Bandwidth & Data Transfer (97.5%) | WAN / MPLS Links (2.3%) | Internet & Telecommunications (0.2%),1.4871
"Equinix Colocation - Secaucus & Frankfurt Data Centers - Cage Power, Cross-Connects & Rack Space Maint - Q3 2026",Network & Connectivity,Network & Connectivity (73.0%) | Maintenance & Support (13.4%) | Software Licensing (3.8%),WAN / MPLS Links,WAN / MPLS Links (84.9%) | Internet & Telecommunications (13.9%) | Bandwidth & Data Transfer (1.1%),1.5898
SAP S/4HANA Cloud Private Edition - Annual FUE (Full User Equivalent) Licensing & Advanced Financial Closing Module - FY26/27,Maintenance & Support,Maintenance & Support (47.8%) | Software Licensing (39.0%) | Operations (5.6%),Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (45.5%) | Enterprise Support Plans (24.2%) | Patch / Version Update (15.7%),1.6089
"Oracle Fusion Cloud ERP - Global Financials, Fixed Assets & Cash Management Cloud Service - Q3 Mo. Subscription",Software Licensing,Software Licensing (55.9%) | Maintenance & Support (29.0%) | Operations (8.8%),License Renewal,License Renewal (62.3%) | License Upgrade / Add-on (27.2%) | SaaS Subscription Seats (4.5%),1.7041
Workday Financial Management - Advanced Financial Reporting & Consolidated Intercompany Accounting Sub - Annual Renewal,Maintenance & Support,Maintenance & Support (70.6%) | Others (20.3%) | Operations (8.0%),Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (35.6%) | Enterprise Support Plans (34.5%) | Patch / Version Update (15.2%),1.4568
"BlackLine Systems Inc - Financial Close Management, Balance Sheet Account Reconciliation & Journal Automation Platform Sub",Maintenance & Support,Maintenance & Support (64.5%) | Others (19.4%) | Operations (14.6%),Patch / Version Update,Patch / Version Update (34.2%) | Vendor Support Retainer (30.8%) | Enterprise Support Plans (30.5%),1.4344
Kyriba Corp - Enterprise Treasury Management System (TMS) SaaS Fee - Bank Connectivity & SWIFT MT940 Integration Q3,Software Licensing,Software Licensing (60.3%) | Maintenance & Support (24.5%) | Operations (9.7%),License Upgrade / Add-on,License Upgrade / Add-on (59.9%) | License Renewal (19.7%) | BI & Analytics Tool Licenses (9.9%),1.7056
Thomson Reuters ONESOURCE - Global Statutory Reporting & Indirect Tax Compliance Engine - Enterprise Sub FY26,Maintenance & Support,Maintenance & Support (66.3%) | Operations (15.2%) | Others (11.6%),Enterprise Support Plans,Enterprise Support Plans (49.5%) | Vendor Support Retainer (29.4%) | Patch / Version Update (15.1%),1.5136
Vertex Cloud Indirect Tax O Series - Real-time Sales & Use Tax Calculation Engine Tier-4 Transaction Overage (Jul-Aug 2026),Maintenance & Support,Maintenance & Support (52.0%) | Others (30.8%) | Operations (13.5%),Vendor Support Retainer,Vendor Support Retainer (53.1%) | Enterprise Support Plans (27.5%) | Patch / Version Update (11.5%),1.6064
SAP SuccessFactors Employee Central to S/4HANA Finance BTP Middleware Connector Support & Maintenance Fee,Maintenance & Support,Maintenance & Support (75.2%) | Operations (15.0%) | Software Licensing (5.1%),Vendor Support Retainer,Vendor Support Retainer (92.8%) | Annual Maintenance Contract (AMC) (3.4%) | Enterprise Support Plans (2.5%),1.5383
"Coupa Software Inc - Enterprise BSM Platform, Invoice Matching & AP Automation Engine - Tier 2 Transaction Bracket FY26",Maintenance & Support,Maintenance & Support (60.8%) | Operations (18.2%) | Others (13.5%),Enterprise Support Plans,Enterprise Support Plans (35.8%) | Vendor Support Retainer (32.5%) | Annual Maintenance Contract (AMC) (20.4%),1.5531
"SAP Ariba - Commerce Cloud Integration, Strategic Sourcing & Supplier Lifecycle Management Annual License Renewal",Software Licensing,Software Licensing (78.1%) | Maintenance & Support (20.1%) | Operations (1.4%),License Renewal,License Renewal (100.0%) | New License Purchase (0.0%) | License Upgrade / Add-on (0.0%),1.611
Corpay / FLEETCOR - Global Cross-Border Virtual Card Rebate Settlement & ERP Payment Gateway Maintenance Q3,Maintenance & Support,Maintenance & Support (63.3%) | Operations (17.3%) | Software Licensing (9.1%),Patch / Version Update,Patch / Version Update (87.0%) | Vendor Support Retainer (10.6%) | Enterprise Support Plans (2.3%),1.7746
Tipalti AP Automation - Multi-currency Global Contractor Disbursements & Tax Form W-8/W-9 Validation Processing Fee,Others,Others (46.0%) | Maintenance & Support (33.5%) | Operations (14.6%),Cost of disbursement and tax,"N/A (dynamically generated, not a closed-set probability)",2.5522
Basware Network - E-Invoicing Peppol Access Point & Electronic Data Interchange (EDI) Mapping Subscription,Maintenance & Support,Maintenance & Support (55.0%) | Software Licensing (21.6%) | Others (9.2%),Vendor Support Retainer,Vendor Support Retainer (56.2%) | Enterprise Support Plans (29.2%) | Patch / Version Update (8.4%),1.4878
"Workday HCM - Human Resources, Advanced Compensation & Global Payroll Cloud Connect (18,500 Active Seats) - Mo. Lic",Software Licensing,Software Licensing (65.4%) | Maintenance & Support (23.7%) | Operations (7.1%),License Upgrade / Add-on,License Upgrade / Add-on (72.5%) | License Renewal (23.1%) | SaaS Subscription Seats (2.0%),1.7536
ADP GlobalView Payroll - Multi-Country Payroll Processing & Local Statutory Filings Fee - EMEA Region - Aug 2026,Maintenance & Support,Maintenance & Support (56.7%) | Operations (16.5%) | Others (14.1%),Vendor Support Retainer,Vendor Support Retainer (79.8%) | Annual Maintenance Contract (AMC) (8.4%) | Enterprise Support Plans (7.8%),2.0273
"SAP SuccessFactors - Performance & Goals, Succession Planning & Learning Management Solution (LMS) - Q3 Subscription",Software Licensing,Software Licensing (84.3%) | Maintenance & Support (11.7%) | Operations (2.3%),License Renewal,License Renewal (76.0%) | License Upgrade / Add-on (11.2%) | SaaS Subscription Seats (4.6%),1.7178
Greenhouse Software - Enterprise Applicant Tracking System (ATS) & Talent Acquisition Platform Annual License (FY26),Software Licensing,Software Licensing (84.0%) | Maintenance & Support (14.6%) | Operations (0.8%),License Upgrade / Add-on,License Upgrade / Add-on (71.6%) | License Renewal (25.1%) | SaaS Subscription Seats (1.3%),1.6672
"Culture Amp - Global Employee Engagement & 360 Feedback Survey Platform - Annual Enterprise Agreement (15,000 Headcount)",Maintenance & Support,Maintenance & Support (46.6%) | Others (19.9%) | Operations (15.4%),Enterprise Support Plans,Enterprise Support Plans (48.9%) | Annual Maintenance Contract (AMC) (34.4%) | Patch / Version Update (12.2%),1.8747
"Sterling Infosystems - Pre-employment Background Verification, Global Criminal Checks & Drug Screening Svc - Aug 2026",Maintenance & Support,Maintenance & Support (48.6%) | Operations (22.2%) | Others (14.9%),Vendor Support Retainer,Vendor Support Retainer (43.0%) | Enterprise Support Plans (28.2%) | Annual Maintenance Contract (AMC) (18.9%),1.5101
"Salesforce.com Inc - Sales Cloud Enterprise Edition & CPQ Plus (Configure, Price, Quote) Annual User Seats Renewal (1,200 Seats)",Software Licensing,Software Licensing (79.1%) | Maintenance & Support (17.3%) | Operations (2.8%),License Renewal,License Renewal (100.0%) | New License Purchase (0.0%) | License Upgrade / Add-on (0.0%),1.4697
Salesforce Service Cloud & Omni-Channel Digital Engagement - Customer Care Tier 1 Support Platform - Q3 Billing,Maintenance & Support,Maintenance & Support (87.4%) | Operations (7.8%) | Software Licensing (2.1%),Enterprise Support Plans,Enterprise Support Plans (74.7%) | Vendor Support Retainer (11.7%) | Patch / Version Update (8.7%),1.4293
"HubSpot Enterprise - Marketing Automation Hub, Lead Scoring & Marketing Attribution Engine - Mo. Tier Commitment",Software Licensing,Software Licensing (69.2%) | Maintenance & Support (25.0%) | Operations (3.8%),License Renewal,License Renewal (87.7%) | License Upgrade / Add-on (5.3%) | SaaS Subscription Seats (3.1%),1.7005
Gainsight Inc - Customer Success Management Platform & Product Experience Analytics Suite - Annual Sub FY26,Maintenance & Support,Maintenance & Support (71.8%) | Operations (13.5%) | Others (8.8%),Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (37.9%) | Vendor Support Retainer (26.0%) | Patch / Version Update (21.3%),1.3753
"Zendesk Inc - Enterprise Suite Support, Live Chat & Answer Bot AI Add-On Licensing - 450 Agent Seats Mo. Billing",Software Licensing,Software Licensing (68.4%) | Maintenance & Support (24.5%) | Operations (5.3%),License Upgrade / Add-on,License Upgrade / Add-on (99.7%) | License Renewal (0.2%) | SaaS Subscription Seats (0.0%),1.5197
Outreach.io - Sales Execution Platform & Automated Pipeline Sequencing Software - 350 Rep Licenses Renewal,Software Licensing,Software Licensing (92.3%) | Maintenance & Support (7.2%) | Operations (0.2%),License Renewal,License Renewal (100.0%) | New License Purchase (0.0%) | License Upgrade / Add-on (0.0%),1.3529
