narration,main_category,main_top3,sub_category,sub_top3,time_taken_sec
SAP S/4HANA Cloud Private Edition - Annual Subscription Renewal FY25 - Global Finance Module,Software Licensing,Software Licensing (86.8%) | Others (12.2%) | Professional Services (0.3%),Enterprise Resource Planning,Enterprise Resource Planning (97.0%) | IT Service Management (1.5%) | Customer Relationship Management (0.6%),18.2487
SAP S/4HANA - FICO Module - Annual Maintenance & Support Fees - FY2024-25,Managed Services & Support,Managed Services & Support (90.8%) | Software Licensing (8.6%) | Others (0.2%),Maintenance & Support Fees,Maintenance & Support Fees (98.5%) | Application Managed Services (1.1%) | Operational Support (0.2%),16.7361
SAP Ariba Buying & Invoicing - Subscription Renewal - Procurement - 1200 Users - EMEA Entity,Software Licensing,Software Licensing (73.4%) | Others (23.6%) | Cybersecurity & Governance (0.8%),Enterprise Resource Planning,Enterprise Resource Planning (96.9%) | IT Service Management (1.4%) | Customer Relationship Management (1.0%),17.9074
SAP Concur Expense - Standard Edition - Monthly Subscription - Q1 FY25 - All Entities,Software Licensing,Software Licensing (83.2%) | Others (15.2%) | Cybersecurity & Governance (0.6%),Enterprise Resource Planning,Enterprise Resource Planning (98.3%) | IT Service Management (1.0%) | Customer Relationship Management (0.3%),17.1177
SAP SuccessFactors Employee Central - Annual License - 8500 Employees - Global HR,Software Licensing,Software Licensing (97.7%) | Others (1.4%) | Professional Services (0.4%),Human Capital Management,Human Capital Management (66.0%) | Enterprise Resource Planning (33.2%) | IT Service Management (0.4%),17.7319
Oracle ERP Cloud Financials - SaaS Subscription - FY25 Renewal - US01 Entity,Software Licensing,Software Licensing (76.1%) | Others (21.1%) | Managed Services & Support (1.0%),Enterprise Resource Planning,Enterprise Resource Planning (96.9%) | IT Service Management (1.9%) | Customer Relationship Management (0.7%),18.4464
Oracle NetSuite ERP - Annual License - Manufacturing Subsidiary - APAC Region,Software Licensing,Software Licensing (81.8%) | Others (15.3%) | Cybersecurity & Governance (1.2%),Enterprise Resource Planning,Enterprise Resource Planning (97.7%) | IT Service Management (1.4%) | Customer Relationship Management (0.7%),17.1015
Microsoft Dynamics 365 Finance & Operations - Enterprise License - 350 Users - FY25,Software Licensing,Software Licensing (98.7%) | Others (0.8%) | Professional Services (0.3%),Enterprise Resource Planning,Enterprise Resource Planning (98.5%) | IT Service Management (0.7%) | Customer Relationship Management (0.7%),17.7072
SAP BTP - Integration Suite - Consumption Charges - Dec 2024 - Integration Platform,Integration & Middleware,Integration & Middleware (60.1%) | Software Licensing (17.6%) | Cloud & Infrastructure (15.5%),Integration Platform as a Service,Integration Platform as a Service (43.2%) | Messaging & Event Streaming (33.7%) | API Management (23.1%),16.3515
Oracle Database Enterprise Edition - Support Renewal - Prod Environment - Annual,Managed Services & Support,Managed Services & Support (65.1%) | Software Licensing (34.1%) | Others (0.2%),Application Managed Services,Application Managed Services (88.2%) | Operational Support (8.8%) | Maintenance & Support Fees (2.9%),16.585
Workday HCM - Annual Subscription - Core HR + Compensation + Talent - 9000 Employees,Software Licensing,Software Licensing (95.6%) | Others (3.4%) | Professional Services (0.7%),Human Capital Management,Human Capital Management (63.6%) | Enterprise Resource Planning (36.1%) | IT Service Management (0.1%),17.731
Workday Payroll - US & Canada - Annual Subscription & Tax Filing Fees - FY25,Software Licensing,Software Licensing (90.0%) | Others (8.2%) | Professional Services (1.1%),Enterprise Resource Planning,Enterprise Resource Planning (93.3%) | Human Capital Management (4.2%) | IT Service Management (1.8%),17.5412
ADP GlobalView Payroll - Processing Fees - EMEA Region - Nov 2024 - 3200 Payslips,Others,Others (58.2%) | Software Licensing (33.0%) | Managed Services & Support (3.6%),Processing fees for payroll processing,"N/A (dynamically generated, not a closed-set probability)",15.1448
SuccessFactors Learning Management System - Annual Subscription Renewal,Software Licensing,Software Licensing (98.0%) | Others (1.6%) | Professional Services (0.3%),Human Capital Management,Human Capital Management (67.4%) | Enterprise Resource Planning (28.8%) | IT Service Management (2.5%),16.349
Workday - Phase 2 Implementation - Professional Services - Milestone 3 - SOW WD-2024-089,Software Licensing,Software Licensing (69.8%) | Professional Services (13.3%) | Others (9.1%),Enterprise Resource Planning,Enterprise Resource Planning (88.7%) | Collaboration & Productivity (4.5%) | Human Capital Management (3.1%),18.9128
