Narration,main_category,main_top3,sub_category,sub_top3,time_taken_sec
SAP S/4HANA Cloud Private Edition - Annual Subscription Renewal FY25 - Global Finance Module,Software Licensing,Software Licensing (63.8%) | Maintenance & Support (31.9%) | Operations (2.2%),License Renewal,License Renewal (100.0%) | New License Purchase (0.0%) | License Upgrade / Add-on (0.0%),1.6254
SAP S/4HANA - FICO Module - Annual Maintenance & Support Fees - FY2024-25,Maintenance & Support,Maintenance & Support (82.3%) | Operations (11.1%) | Consulting & Professional Services (2.6%),Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (84.9%) | Enterprise Support Plans (7.7%) | Vendor Support Retainer (3.8%),1.4189
SAP Ariba Buying & Invoicing - Subscription Renewal - Procurement - 1200 Users - EMEA Entity,Maintenance & Support,Maintenance & Support (50.7%) | Software Licensing (40.6%) | Operations (3.8%),Enterprise Support Plans,Enterprise Support Plans (62.3%) | Vendor Support Retainer (17.9%) | Patch / Version Update (10.1%),1.4032
SAP Concur Expense - Standard Edition - Monthly Subscription - Q1 FY25 - All Entities,Maintenance & Support,Maintenance & Support (63.8%) | Others (21.7%) | Operations (9.5%),Vendor Support Retainer,Vendor Support Retainer (45.7%) | Enterprise Support Plans (40.7%) | Patch / Version Update (8.4%),1.3645
SAP SuccessFactors Employee Central - Annual License - 8500 Employees - Global HR,Software Licensing,Software Licensing (85.5%) | Maintenance & Support (13.7%) | Operations (0.4%),License Upgrade / Add-on,License Upgrade / Add-on (64.9%) | License Renewal (30.6%) | SaaS Subscription Seats (2.4%),1.5019
Oracle ERP Cloud Financials - SaaS Subscription - FY25 Renewal - US01 Entity,Software Licensing,Software Licensing (84.9%) | Maintenance & Support (13.8%) | Operations (0.7%),License Renewal,License Renewal (100.0%) | New License Purchase (0.0%) | License Upgrade / Add-on (0.0%),1.5992
Oracle NetSuite ERP - Annual License - Manufacturing Subsidiary - APAC Region,Software Licensing,Software Licensing (73.4%) | Maintenance & Support (23.7%) | Operations (1.8%),License Upgrade / Add-on,License Upgrade / Add-on (60.4%) | License Renewal (29.0%) | SaaS Subscription Seats (4.5%),1.8157
Microsoft Dynamics 365 Finance & Operations - Enterprise License - 350 Users - FY25,Software Licensing,Software Licensing (65.4%) | Maintenance & Support (30.9%) | Operations (2.0%),License Upgrade / Add-on,License Upgrade / Add-on (47.7%) | License Renewal (42.4%) | SaaS Subscription Seats (4.6%),1.6396
SAP BTP - Integration Suite - Consumption Charges - Dec 2024 - Integration Platform,Maintenance & Support,Maintenance & Support (67.2%) | Others (18.6%) | Operations (10.8%),Enterprise Support Plans,Enterprise Support Plans (41.1%) | Vendor Support Retainer (32.4%) | Patch / Version Update (20.1%),1.4825
Oracle Database Enterprise Edition - Support Renewal - Prod Environment - Annual,Maintenance & Support,Maintenance & Support (69.5%) | Software Licensing (22.0%) | Operations (6.2%),Enterprise Support Plans,Enterprise Support Plans (62.9%) | Annual Maintenance Contract (AMC) (32.6%) | Patch / Version Update (3.3%),1.4147
Workday HCM - Annual Subscription - Core HR + Compensation + Talent - 9000 Employees,Software Licensing,Software Licensing (57.7%) | Maintenance & Support (35.0%) | Operations (3.6%),License Upgrade / Add-on,License Upgrade / Add-on (72.8%) | License Renewal (19.8%) | SaaS Subscription Seats (3.5%),1.7396
Workday Payroll - US & Canada - Annual Subscription & Tax Filing Fees - FY25,Maintenance & Support,Maintenance & Support (66.3%) | Software Licensing (15.8%) | Operations (10.6%),Enterprise Support Plans,Enterprise Support Plans (36.4%) | Annual Maintenance Contract (AMC) (28.9%) | Vendor Support Retainer (28.2%),2.0826
ADP GlobalView Payroll - Processing Fees - EMEA Region - Nov 2024 - 3200 Payslips,Maintenance & Support,Maintenance & Support (57.3%) | Others (21.5%) | Operations (14.6%),Vendor Support Retainer,Vendor Support Retainer (91.3%) | Annual Maintenance Contract (AMC) (4.2%) | Enterprise Support Plans (3.2%),1.5566
